,ID,scientific name,date,coordinates
1243,1584376963,Eretmochelys imbricata,1996-01-01T00:00:00Z,"142.1633,-10.215"
1244,1584376962,Eretmochelys imbricata,1996-01-01T00:00:00Z,"142.595,-10.7067"
1245,1584376961,Lepidochelys olivacea,1996-01-01T00:00:00Z,"142.1717,-10.06"
1246,1584376960,Eretmochelys imbricata,1996-01-01T00:00:00Z,"142.165,-10.055"
1247,1584376959,Eretmochelys imbricata,1996-01-01T00:00:00Z,"142.1167,-10.2"
1248,1584376958,Lepidochelys olivacea,1996-01-01T00:00:00Z,"143.17,-9.87"
1249,1584376957,Natator depressus,1996-01-01T00:00:00Z,"142.6117,-10.74"
1250,1584376956,Chelonia mydas,1996-01-01T00:00:00Z,"143.2917,-9.9567"
1251,1584376955,Eretmochelys imbricata,1996-01-01T00:00:00Z,"142.35,-10.7083"
1252,1584376954,Natator depressus,1996-01-01T00:00:00Z,"142.2133,-10.22"
1253,1584376953,Natator depressus,1996-01-01T00:00:00Z,"142.1783,-10.06"
1254,1584376952,Natator depressus,1999-01-01T00:00:00Z,"142.1767,-10.1534"
1255,1584376951,Natator depressus,1996-01-01T00:00:00Z,"142.165,-10.0617"
1256,1584376950,Eretmochelys imbricata,1996-01-01T00:00:00Z,"142.17,-10.2033"
1257,1584376949,Eretmochelys imbricata,1996-01-01T00:00:00Z,"142.21,-10.7667"
1258,1584376948,Lepidochelys olivacea,1996-01-01T00:00:00Z,"142.6117,-10.74"
1259,1584376947,Lepidochelys olivacea,1996-01-01T00:00:00Z,"142.165,-10.0617"
1260,1584376946,Lepidochelys olivacea,1996-01-01T00:00:00Z,"142.0667,-10.225"
1261,1584376945,Eretmochelys imbricata,1996-01-01T00:00:00Z,"142.0533,-10.22"
1262,1584376944,Eretmochelys imbricata,1996-01-01T00:00:00Z,"142.6117,-10.74"
1263,1584376943,Lepidochelys olivacea,1996-01-01T00:00:00Z,"142.165,-10.055"
1264,1584376942,Chelonia mydas,1978-01-01T00:00:00Z,"144.1167,-9.3667"
1265,1584376941,Eretmochelys imbricata,1996-01-01T00:00:00Z,"142.595,-10.7117"
1266,1584376940,Eretmochelys imbricata,1996-01-01T00:00:00Z,"142.2133,-10.22"
1267,1584376939,Eretmochelys imbricata,1996-01-01T00:00:00Z,"142.2083,-9.965"
1268,1584376938,Eretmochelys imbricata,1996-01-01T00:00:00Z,"142.9717,-10.795"
1269,1584376937,Eretmochelys imbricata,1996-01-01T00:00:00Z,"142.1733,-10.2"
1270,1584376936,Eretmochelys imbricata,1996-01-01T00:00:00Z,"142.06,-10.2233"
1271,1584376935,Eretmochelys imbricata,1996-01-01T00:00:00Z,"142.19,-10.545"
1272,1584376934,Eretmochelys imbricata,1996-01-01T00:00:00Z,"142.1283,-10.0283"
1273,1584376933,Eretmochelys imbricata,1996-01-01T00:00:00Z,"142.1583,-10.2167"
1274,1584376932,Lepidochelys olivacea,1996-01-01T00:00:00Z,"142.6217,-10.7283"
1275,1584376931,Eretmochelys imbricata,1996-01-01T00:00:00Z,"142.6217,-10.7283"
1276,1584376930,Eretmochelys imbricata,1996-01-01T00:00:00Z,"142.28,-10.6917"
1277,1584376929,Lepidochelys olivacea,1996-01-01T00:00:00Z,"142.595,-10.7117"
1278,1584376928,Eretmochelys imbricata,1996-01-01T00:00:00Z,"142.1533,-10.2267"
1279,1584376927,Eretmochelys imbricata,1996-01-01T00:00:00Z,"142.635,-10.6"
1280,1584376926,Natator depressus,1996-01-01T00:00:00Z,"142.1583,-10.2167"
1281,1584376925,Eretmochelys imbricata,1996-01-01T00:00:00Z,"142.2117,-9.9683"
1282,1584376924,Eretmochelys imbricata,1996-01-01T00:00:00Z,"142.1783,-10.06"
1283,1584376923,Eretmochelys imbricata,1996-01-01T00:00:00Z,"142.1017,-10.2783"
1284,1584376922,Eretmochelys imbricata,1996-01-01T00:00:00Z,"142.1067,-10.3533"
1285,1584376921,Natator depressus,1996-01-01T00:00:00Z,"142.16,-10.22"
1286,1584376920,Eretmochelys imbricata,1996-01-01T00:00:00Z,"142.21,-9.95"
1287,1584376919,Lepidochelys olivacea,1996-01-01T00:00:00Z,"142.0933,-10.3283"
1288,1584376918,Lepidochelys olivacea,1996-01-01T00:00:00Z,"142.1733,-10.2"
1289,1584376917,Lepidochelys olivacea,1996-01-01T00:00:00Z,"142.1783,-10.06"
1290,1584376916,Eretmochelys imbricata,1996-01-01T00:00:00Z,"142.0833,-10.245"
